"back_camera","battery","display","name","price","ram"
"48 + 48 + 48 MP","4832 mAh","6.9 inches","Apple Iphone 17 Pro Max","Rs 527,999","12GB"
"48 MP","3149 mAh","6.5 inches","Apple Iphone 17 Air","Rs 414,999","8GB"
"48 + 48 + 48 MP","3988 mAh","6.3 inches","Apple Iphone 17 Pro","Rs 497,999","12GB"
"48MP + 12MP Ultra Wide","3561 mAh","6.1","Apple iPhone 16","Rs 308,999","8GB RAM"
"48MP + 48MP + 12 MP","4676 mAh","6.9 Inches","Apple iPhone 16 Pro Max","Rs 521,999","8GB"
"48 MP + 12 MP","3349 mAh","6.1 Inches","Apple iPhone 15","Rs 266,499","6 GB"
"12 MP + 12 MP","327912.68 mAh","6.1 inches","Apple iPhone 14","Rs 183,999","6 GB"
"48 + 48 MP","3692 mAh","6.3 inches","Apple Iphone 17","Rs 387,999","8GB"
"48 MP","4005 mAh","6.1 inch","Apple iPhone 16e","Rs 254,999","8 GB"
"48MP + 12MP","4600 mAh","6.7 Inches","Apple iPhone 16 Plus","Rs 327,999","8GB RAM"
"48MP + 48MP + 12MP","3577 mAh","6.3 Inches","Apple iPhone 16 Pro","Rs 366,999","8GB"
"48 MP + 12 MP + 12 MP","4422 mAh","6.7 Inches","Apple iPhone 15 Pro Max","Rs 392,000","8 GB"
"12 MP + 12MP","3240 mAh","6.1 Inches","Apple iPhone 13","Rs 167,499","4GB"
