name,ram,battery,display,back_camera,price
OnePlus 13T 16/512,16GB,6260 mAh,120Hz AMOLED,NA,129999
OnePlus 13T 12/256,12GB,6260 mAh,120Hz AMOLED,NA,114999
OnePlus Ace 3 Pro 16/512,16GB,6100 mAh,AMOLED,NA,94999
OnePlus Ace 3 Pro 16/256,16GB,6100 mAh,AMOLED,NA,84999
OnePlus 10 Pro 12/256,12GB,5000 mAh,120Hz AMOLED,48+50+8 MP,84999
OnePlus 10R 12/256,12GB,5000 mAh,120Hz AMOLED,50+8+2 MP,49999
OnePlus Ace 2V 16/256,16GB,5000 mAh,120Hz AMOLED,64+8+2 MP,54999
OnePlus 9 Pro 12/256,12GB,4500 mAh,120Hz AMOLED,48+50+8+2 MP,43999
OnePlus 9 8/128,8GB,4500 mAh,120Hz AMOLED,48+50+2 MP,39999
OnePlus 9R 8/128,8GB,4500 mAh,120Hz AMOLED,48+16+5+2 MP,14999
OnePlus 8 Pro 12/256,12GB,4510 mAh,120Hz AMOLED,48+48+8+5 MP,49999
OnePlus 8 8/128,8GB,4300 mAh,90Hz AMOLED,48+16+2 MP,36999
OnePlus 7 Pro 12/256,12GB,4000 mAh,90Hz AMOLED,48+16+8 MP,43999
OnePlus 7T 8/128,8GB,3800 mAh,90Hz AMOLED,48+12+16 MP,32999
OnePlus 7 8/256,8GB,3700 mAh,AMOLED,48+5 MP,29999
Pixel 10 12/128,12GB,4970 mAh,120Hz OLED,50+48+48 MP,189999
Pixel 9 Pro XL 16/256,16GB,5060 mAh,120Hz LTPO OLED,50+48+48 MP,164999
Pixel 9 12/128,12GB,4700 mAh,120Hz OLED,50+48 MP,121999
